index,n0,n1,result
113,0x8f4ceaa5,0xdeaa24c3,0x2e88313f
114,0x9d957281,0x54458c26,0xb266a5dc
115,0x28bb0098,0xcfc8124b,0xb91225d4
116,0x34f597f3,0xcbc8c372,0xc1409a36
117,0x0cd2451f,0x41188aa0,0x0e7a95ce
118,0xad17cbbc,0x4545370f,0xb2e9e0da
119,0x37b44819,0x645001b4,0x5c927bc7
120,0xa2b5d354,0x5ecf9c9d,0xc213751d
121,0x45df9e64,0xc041a6bf,0xc6a92811
122,0xbfc05e98,0xa8b20312,0x2905c414
123,0x751fde44,0x6dc7dc5c,0xefffffff
124,0x40a5ca14,0xdf9afeca,0xe0c8c122
125,0x25c2b1ce,0x57469068,0x3d970358
126,0x3ab8f2ea,0x625c5be3,0x5d9f3323
127,0x95d6ed90,0x9854d11c,0x00000000
128,0x1bf87ad1,0xc08f3af9,0x9d0b05d8
129,0x5059b0ae,0xebe7a6e6,0xfcc4fc59
130,0x5845788d,0x8b252777,0xa3feca48
131,0xa157b9be,0xbcee224a,0x1ec8ab94
132,0x6d4fe9f1,0x09f5613b,0x37c749dc
133,0x24cff992,0x6bab2e66,0x510b1167
134,0x4672617b,0x54815aa4,0x5b74f1e1
135,0x37170695,0x6a84967d,0x621c7059
136,0xc48722e0,0x89bc3ce1,0x0ec6bb7f
137,0x55522716,0xcda0f57a,0xe38421f1
138,0x75464c06,0x54d146dc,0xefffffff
139,0x479d2cb7,0x22b6e249,0x2ae09171
140,0xaf91d69d,0x9674616a,0x068b380d
141,0x91872f2d,0x4404fddb,0x960c74c1
142,0x8e091ce8,0x6faa4937,0xbe3668d1
143,0x6615a406,0x9c9731d8,0xc330c1c4
144,0x475b964e,0x1db529eb,0x259b653a
145,0xdb496c03,0x428fd169,0xde625032
146,0xb7cc6756,0x4c6298ed,0xc4b4ed54
147,0x378139d7,0x926b4d70,0x8a6d8e5f
148,0x471add4d,0x25bff409,0x2d683d7a
149,0x281b7a3b,0x55d46c9b,0x3e81032e
150,0x8a1ff8fe,0x54236272,0x9ecc321d
151,0x9e7c5a2e,0xcfe37b4c,0x2ee03d81
152,0x33864184,0x8ce2009a,0x80ed0c4e
153,0xd09aff5e,0x689b9ec7,0xf9bc7180
154,0x6820cd81,0x197cd779,0x421ed1a4
155,0xba9c3a81,0x42566f03,0xbd82dca7
156,0xbfb2a689,0xb3fbeffc,0x342fd0c1
157,0x5da73a8f,0x3159f4e4,0x4f8e609c
158,0xe40c6cf7,0xce0b5a82,0x7298e1a0
159,0x4b6ad755,0xb579605e,0xc164c3d8
160,0x0bb7b709,0x21f0f169,0x00000000
161,0xf297fab4,0x083bc646,0xbb5ef3ae
162,0x98eb6b1b,0xa2f4cc7f,0x0000708f
163,0xf279a16c,0x4632cb66,0xf92e5893
164,0x382f48fa,0xbe251bd1,0xb6e21a29
165,0xb4223550,0xf0362b8d,0x64e6daff
166,0x61cf4799,0x1737d5cd,0x3994d94b
167,0xc9966f8d,0xeefdd03d,0x7915269d
168,0x6481a4b5,0x407f4342,0x65814520
169,0xf605b20c,0x71abf117,0xefffffff
170,0x0d46f96e,0x2ff3ffdb,0x0002f696
171,0x5b6db481,0x2686526a,0x42797203
172,0x9984e8bc,0x5d5e0974,0xb7668d77
173,0x099bdb37,0xf5f16aef,0xc012fa7a
174,0xba8997a0,0x9737280b,0x1244e1d2
175,0x48a4aaf7,0x6851a492,0x7186d96f
176,0x89fd89b1,0x95abe3d9,0x00000000
177,0x93738cd7,0xdb6071e5,0x2f558797
178,0xef2ed61f,0xa535d1e6,0x54f8597b
179,0xcd82e7b7,0xba7c832f,0x48811f2d
180,0x4e2963d5,0xef3b8fd4,0xfdf83630
181,0x5088d7ec,0xd206e8b2,0xe3103ad0
182,0x2491efca,0x939a972d,0x800000b0
183,0x8e45f264,0x4ee6fbaa,0x9db29a5e
184,0x8c43e6d8,0x4f814dcb,0x9c45e5b6
185,0xba139d69,0x34a52c8b,0xaf3e7c47
186,0x32de537b,0x1f23fcdd,0x128e6ac2
187,0x604017bc,0x30ffd5b8,0x51bff802
188,0xf402b351,0x240eed40,0xd891f12f
189,0x0bdf437d,0xbe0c6f2a,0x8a74f3b6
190,0x75aaafd0,0xd7d702e6,0xefffffff
191,0x1d36e3ec,0x633dd1d3,0x41079c2c
192,0xe92bcb2c,0x0cb8097e,0xb67700cd
193,0x1e0536c9,0x0c242e7a,0x00000000
194,0x897378e2,0x5d05facf,0xa6fed8ac
195,0xdf1fa8bf,0xc7e32ac4,0x678dad4d
196,0xf3bfd833,0xd10d300b,0xefffffff
197,0x6f401626,0x621bc780,0xefffffff
198,0xdeff317a,0x4cc12d6d,0xec409196
199,0x9075438a,0x453d8c1b,0x96359918
200,0x429f92ec,0xaa10388e,0xad33cbcb
201,0x09807a49,0xb201ea01,0x80004133
202,0x1585637a,0x3c1e9ae7,0x12254837
203,0xeab26e7e,0x56892772,0xefffffff
204,0x37ce2ced,0x405c4266,0x38b16415
205,0xae19d56f,0xa55d182a,0x1404dbc6
206,0x4cfd183c,0xa444cdd3,0xb1c2920c
207,0xa3af290c,0x23b916e2,0x87fd48a3
208,0xba30d532,0x6885ca0e,0xe338d4a9
209,0x1afa0d73,0x44a1f686,0x201e3341
210,0xb56391c3,0xe0d77e99,0x56bf8ff5
211,0x485e12f1,0x109367fb,0x197fbe27
212,0xd925ad7a,0xb27a3986,0x4c21f0a3
213,0x5391a0ff,0x15c1fbe4,0x29dcb356
214,0xc8498e81,0x21229d7c,0xaa00082c
215,0x72ad840a,0x1e17be06,0x514db35c
216,0x9ac425ac,0xb7ed4157,0x1335c8f1
217,0x64d6654a,0xda355b6f,0xefffffff
218,0xe28ad513,0xa60480c0,0x490fb761
219,0x0dea7a49,0xa7520797,0x80000003
220,0xb2e1e37f,0x5715b8ad,0xca841c5d
221,0x27c89a34,0x96c623f8,0x8013686e
222,0x4e4ec5fa,0xf2e14c6d,0xefffffff
223,0xd0c75527,0xea184394,0x7b6d1e5c
224,0x9e37bdf5,0xd98b7cd6,0x38483b7c
225,0x62081231,0x96b83f3b,0xb943dd5f
226,0x30943f8d,0x6828a8ab,0x594356c3
227,0xda1adff6,0xbb0e4077,0x55ac1e75
228,0xe292ac7f,0xb4b5318b,0x57cfa0b2
229,0x75520dca,0x9991491d,0xcf6e6b9a
230,0xb32a6e47,0x350e249e,0xa8bd4317
231,0x48acc621,0xb2d9edb4,0xbc13145f
232,0x11f87795,0xeebf2461,0xc1398487
233,0x6daf1f2e,0x19e9c773,0x481febd1
234,0x3b19dc76,0x65451344,0x60ece477
235,0xb680bff1,0xe577dd9a,0x5c79514a
236,0x59b16e88,0xcf33cf94,0xe979404f
237,0x690ca7f7,0xa133ea7b,0xcac5b48d
238,0xf3d4a7c0,0x20a25104,0xd506d574
239,0x245ea16a,0xbfa74e9e,0xa4917fab
240,0x70bfa431,0x118a98a2,0x42cf818a
241,0x2bdcf99c,0xcc0b6150,0xb8709f0f
242,0x4825b45c,0xe4e97a6f,0xed972068
243,0xec1087a6,0x66217b17,0xefffffff
244,0x564bff57,0xf770b32a,0xefffffff
245,0xbe904f4e,0xe84c9538,0x6766a6a0
246,0xaae873b5,0x589e62a2,0xc40fd0f9
247,0xbd270cc1,0x98eb3c4e,0x1699800f
248,0x328f5954,0x2deb107f,0x2103a03d
249,0xe069ce79,0xaa92affc,0x4b85f87c
250,0x41813a75,0x14be26ed,0x16bffa12
251,0x3d085714,0xd39edac2,0xd129347f
252,0xda65c49c,0xb00a870c,0x4af8aa63
253,0x0a7e17dd,0xca6cd4c5,0x956b112f
254,0x98250f69,0xca3b36c7,0x22f16b27
255,0xc7c65a03,0xa7a39a7e,0x2ffd8608
256,0x15142cbb,0xb0f41a0d,0x868d49b6
257,0xe915a584,0x62d099ee,0xefffffff
258,0x6ce8a4f7,0xb037b83d,0xdda6f55a
259,0x712fda6b,0x5609e96d,0xefffffff
260,0x71d76dd8,0x54c60cef,0xefffffff
261,0xdef8c6b2,0x73c4d8b2,0xefffffff
262,0xee4f19f3,0x629198bf,0xefffffff
263,0x37380061,0x8c90d74b,0x845035ea
264,0xf50238bd,0xe9ea60da,0xefffffff
265,0x98cab3cc,0x9410ac7b,0x00000000
266,0x10c400be,0x3b5a7241,0x0ca7401c
267,0x43fc4b44,0x53c74ec2,0x58446c20
268,0x100c6efa,0x150ed627,0x00000000
269,0x87859b21,0x721fab18,0xba26a949
270,0xc1c8ea7f,0xbf201763,0x417b49d4
271,0xb54eef5b,0x1897f35b,0x8e75a7cb
272,0x3eae8765,0xe594c865,0xe4caddca
273,0x6d06069d,0xce85bba3,0xfc0c0758
274,0xc95c5447,0xa5279b1f,0x2f10407c
275,0x584da2df,0x43a720c5,0x5c863f92
276,0x0e0f9add,0xc97cc770,0x980dcc51
277,0x543c8fed,0xefd4ebe2,0xefffffff
278,0x52734092,0x98d61be5,0xabcb727c
279,0x98b17956,0x38536fcb,0x91929482
280,0x2da10e12,0xd2f24e89,0xc11870b5
281,0x43fc9c36,0x6694a507,0x6b12ad27
282,0xa38efcb5,0x4805a511,0xac154af9
283,0x46170c05,0xc9c0c45c,0xd06379bf
284,0xcc1281aa,0xea572bcb,0x76f647eb
285,0x4f70d088,0x750cc04f,0xefffffff
286,0xeff7c6ae,0xe177999a,0xefffffff
287,0xda460e8b,0x689f7d7a,0xefffffff
288,0xe7c3c58d,0x9a5c9ff1,0x42a8b815
289,0xea25bd2e,0xd44176a9,0x7efa80e5
290,0x6d4dabc9,0xe16cb8df,0xefffffff
291,0x501bf6eb,0xe1f50cb1,0xf2954b0a
292,0x55fc6971,0xcd6297c9,0xe3df6abe
293,0xf58270d8,0x91afe63a,0x47b340e6
294,0x0a5a3baf,0x551c51a5,0x200541f9
295,0x9d5bf82d,0x198fe39e,0x8000001f
296,0x6600b4b3,0xbf124425,0xe59312a1
297,0x55e214da,0x9955482d,0xafbc5b17
298,0xdc023a81,0xb2d1351d,0x4f54d992
299,0xba1c353d,0x9731b999,0x11d8e41d
300,0xef9fa5de,0xc11d9a4e,0x714491e7
301,0x32a0b77b,0x0bb82a8e,0x000e73d3
302,0x511c8f37,0x2baa4784,0x3d5045ae
303,0x550cbce7,0x231fed6d,0x38afd7b6
304,0x26039977,0x1a1c8f27,0x00a0f636
305,0x692f9755,0xca0e3b06,0xf3c31cda
306,0x8f50c640,0xe0a01cf5,0x30829385
307,0xa6535751,0x9fcae202,0x06a77d7b
308,0x1e98e63d,0x95c72f88,0x80000001
309,0xa2032d7b,0x12a10009,0x80000001
310,0x3e68a211,0xbf042861,0xbdf03085
311,0x691e6cb1,0xea847698,0xefffffff
312,0x55a2ae85,0xe7c769fd,0xfdfd7208
313,0x1d55c0b2,0x484cbba2,0x262af239
314,0x17b47498,0xc76553ad,0x9fa1a748
315,0xa5c58f57,0xbd980315,0x23ea9ef9
316,0x736854d7,0x34e5f09e,0x68d0ae43
317,0x4b1a2f49,0xd85c3405,0xe4049ff8
318,0xdecf8ebe,0xb594fe1e,0x54f1991b
319,0x21dd40be,0x2431f7b8,0x0699cfdc
320,0x4d1a13d6,0x6f041e8d,0x7c9f093b
321,0x9e804589,0x4d7ae710,0xac7b6f5e
322,0x8b556aab,0x9e1da8cc,0x00000000
323,0x1d6ab531,0x4caa69d9,0x2a9c3d5d
324,0x1e98ac84,0xc98288dc,0xa89bb274
325,0x553c35df,0xa6814008,0xbc3e0c70
326,0x63cd806f,0xa1463069,0xc59f1832
327,0x8f4bcb08,0x3421b9c2,0x8400be90
328,0xdf6d409a,0x0d8cc841,0xad8278ea
329,0x5dcba890,0xb113dd9c,0xcf6b442e
330,0x77f10116,0xa68e04bc,0xdf05b30f
331,0xef03f8bd,0x1516a59b,0xc49b523d
332,0x1e24ff87,0x945b4272,0x80000000
333,0x892561fc,0x905e94b6,0x00000000
334,0xe4e37c93,0x4a39fd53,0xefa54622
335,0x366603bd,0x90efd032,0x87d7788d
336,0xd947772d,0x461fb52a,0xdff8e05a
337,0x919c4db0,0x6ab42d98,0xbcdc04ed
338,0x2804cbcc,0xea8dac35,0xd312fb27
339,0xa4324eff,0x6250af71,0xc7115a62
340,0xa4a61610,0x6ee56d6c,0xd414d8b9
341,0xcf4befec,0x0b9c4be3,0x9b790551
342,0xaabf308a,0xef02b356,0x5a43392a
343,0xf411b07c,0xb7dad38e,0x6c79115d
344,0xc5482f6e,0x65795f4e,0xeb4300a8
345,0x4aabdd9f,0xe77de708,0xf2aa7521
346,0xe3d728c7,0x515987aa,0xf5b6d396
347,0x35b0bbb1,0x0daebb36,0x03f141a2
348,0x6d0b8a81,0x6b2b2634,0xefffffff
349,0x9b87926f,0x3a4dab16,0x9659d5bb
350,0x5de42da9,0x1fb4222c,0x3e208e90
351,0x412dbc81,0xb60cff0d,0xb7bf605c
352,0x6cf65dde,0xee4d4e2c,0xefffffff
353,0x4e987c1b,0xcc6e66e1,0xdb8e00a9
354,0x93cadc9c,0x47fb49aa,0x9c4720ac
355,0x77b7c093,0xa117bb65,0xd959d231
356,0xedb115df,0xbc196c8d,0x6a544252
357,0xbaafac6b,0x45fccf6a,0xc12d7c0e
358,0x3cd1d5bd,0xbc20fb36,0xb983f37f
359,0x1f3e3b47,0x292f1558,0x09021a62
360,0xe60c17b6,0x6f305b79,0xefffffff
361,0x95577a09,0x876cd00f,0x00000000
362,0x70efa781,0xba75b66d,0xebe60616
363,0x488f577b,0xe3db7069,0xecf5bd8f
364,0x207d404e,0x71ac44a2,0x52aa6b1a
365,0x5c0f205e,0x5bef25f0,0x7885b46e
366,0x617455cd,0xe4882cee,0xefffffff
367,0xe9a97a9d,0x54e57d06,0xff17ed73
368,0xc1bac51d,0x0e93406c,0x90d6dc5f
369,0xb8028c73,0x55bbbc5e,0xce3f794f
370,0x25f04bf4,0x4e8d701b,0x3504c310
371,0x4403313a,0xa9a8701f,0xae2ca386
372,0x24fa954c,0x3b664e41,0x20e16ebb
373,0x33c9ef90,0x9fad0f30,0x940882df
374,0x0ae0a347,0xc38bdaf8,0x8ef57198
375,0x5ae465ee,0xd998679d,0xf507f8f7
376,0xd0dab062,0xc450a66e,0x55b23d7c
377,0xbf22ed90,0x23039b22,0xa2a78499
378,0xe1ba4ab9,0x0bebe80f,0xae2bab76
379,0x8fcef508,0x0878b524,0x80000000
380,0x573f398a,0xe0c57ea7,0xf89385e2
381,0x8963282e,0x1303df44,0x80000000
382,0x961eb107,0xbd70994b,0x141524fd
383,0xcf2fbee4,0xf7c49825,0xefffffff
384,0x12ed43e6,0x3e6cdde4,0x11db883f
385,0x4b96cd33,0x9e99d187,0xaab53822
386,0x43ea29bc,0xc34744ad,0xc7b64543
387,0x7502f295,0xed6adde4,0xefffffff
388,0x756d9718,0x5d73bde9,0xefffffff
389,0x17d29f93,0x5d861bce,0x35dcaccf
390,0xef23f92b,0x1b1ee4fc,0xcacb8ce9
391,0x43f2fb67,0x18ce805b,0x1d440021
392,0x9d84e746,0x6f472098,0xcd4ec167
393,0x8b84e2c4,0xf0b0c04d,0x3cb77f72
394,0x71072993,0xb3cf68b2,0xe55b03cb
395,0xdc73387b,0xc20789ab,0x5f00c594
396,0xef04c1d3,0xe288d92a,0xefffffff
397,0x11865234,0xef16a6a4,0xc11e1735
398,0xafb82489,0x17ffcdf7,0x8838008b
399,0x607087cb,0xa8ea517a,0xc9dc28ae
400,0xb5035845,0xdb0652bb,0x5089d54c
401,0x44268354,0x8c0635f5,0x90ae97ad
402,0x1e2bddf0,0x552aa2c4,0x33e51d4f
403,0x897ae24f,0x4b9346f3,0x9590557b
404,0x6886f422,0x969ce504,0xbfa56afe
405,0x92e6f5e9,0x9f71300a,0x00000000
406,0x3421d236,0xdc9e96a9,0xd1487df3
407,0x1d464e13,0xe9b1ad64,0xc789a24b
408,0x4e15f40c,0x5e1e3b8c,0x6cb95f00
409,0x1a952ac5,0x4941903f,0x24619298
410,0xe716af6a,0xe3532999,0xefffffff
411,0x52d31a82,0xc99423dc,0xdcf451ca
412,0xf180fee7,0x588bef83,0xefffffff
413,0x1110303f,0xb1dad9fd,0x837687b9
414,0x6fb2b20c,0x3121eb44,0x61620c65
415,0x5d440227,0x48ae43cf,0x66856d62
416,0x4384c202,0x24099586,0x280eb2bb
417,0x9c4cb69f,0xd1e8c579,0x2eba236a
418,0x16b82247,0x5d0e3d7f,0x344c9e7d
419,0xe9d176b6,0x4df63bdb,0xf849790c
420,0x28130d25,0x26bb6bf0,0x0f575135
421,0x5fb07927,0xc80b23eb,0xe83fd516
422,0x4bb2563f,0x9c4bb3f0,0xa88de7bd
423,0x46704cef,0xe8682a88,0xef59eda5
424,0xeba7b588,0xb4c2ba63,0x60ff2358
425,0x4438b579,0xd4ecaefe,0xd9aac58f
426,0x415ec307,0x613395f3,0x631c44d9
427,0x9e109a00,0xdc8d67bb,0x3b1fbed3
428,0x75235791,0xe87de7b7,0xefffffff
429,0x1c506265,0x2296ce2a,0x001eb05e
430,0xf2aca119,0x3a0dd8f9,0xed3f4e16
431,0x5bcf4128,0xb9210a49,0xd582604e
432,0xa58d510f,0xa8585465,0x0e6ed5f6
433,0x6e2b68c6,0x0ffe032d,0x3eaa1415
434,0x4bacb2ef,0x2eef7eae,0x3b219083
435,0xdd8f2668,0xd69a732d,0x74acbb04
436,0x9e00c633,0x11572ca7,0x80000000
437,0xafcb3973,0x3597bc01,0xa5f0e845
438,0x3cc4ef97,0xdbe9e26c,0xd933ec3f
439,0xba7022d9,0x62904607,0xdd87554b
440,0xb9ab93fe,0x5893b6ca,0xd2c600fc
441,0x2ee2a4a9,0x8b9aa8ed,0x8000111e
442,0x8bded7a7,0xc20079a7,0x0e5fab71
443,0xa6e50b5d,0xa0c4fdad,0x08303faa
444,0x5b8ff099,0x3cf4b229,0x5909957e
445,0x94ad7ac2,0xa7c83503,0x00010f58
446,0x3ad52a00,0x8b21070c,0x86861548
447,0x3dd7569a,0x33ab17ff,0x320feb08
448,0x76b52bc3,0x90e85092,0xc82468ae
449,0x4fa51c8b,0xd419a880,0xe4463579
450,0x2a4f7f7e,0x98d33874,0x83ab33d7
451,0x8feedc76,0xe32f91d0,0x33a3d0c2
452,0xea886f37,0x4df1e435,0xf900ea52
453,0x1a8b92e0,0x4570dfc5,0x208353b2
454,0x2817723a,0x55b44915,0x3e554f18
455,0x6d2fbece,0x28309d97,0x55f27eba
456,0x4bc434c8,0x0c5f593e,0x18ab2e60
457,0x9eb3bb0e,0x0d3b51b4,0x80000000
458,0x1124bd0c,0x770ce6d4,0x48b557d9
459,0x8db50881,0x9f55fbb2,0x00000000
460,0x135e742c,0x107f5680,0x00000000
461,0xe2d36cb8,0xe9c62d48,0xefffffff
462,0x2ebe9f7c,0x26322f04,0x1584ade6
463,0x61d9ad4c,0x0d805a1f,0x2fda4690
464,0x98758a56,0xa820141c,0x011989bf
465,0xe58a9fba,0x5392bcdd,0xf99eeaba
466,0xcbdf76f2,0xd24f6d1f,0x5eb5106e
467,0x151f0821,0x0a865388,0x00000000
468,0xc4aa638a,0x5d50d471,0xe28afe46
469,0xa116219a,0xded10c7d,0x40753183
470,0x88474d3f,0xd001f575,0x18ca5a0a
471,0xf684dafb,0x08bae1dd,0xbfc1f8a2
472,0x45efc22d,0x5f32316b,0x65a6e34c
473,0xc4542acf,0xf1203de2,0x7604ce0b
474,0x94349d6b,0x3bbfabb2,0x90873a96
475,0xeec1edc3,0xc5581025,0x74a3acd7
476,0x942543ed,0x3c3127db,0x90e4bb62
477,0x8f74ef77,0x5efe02a4,0xaef3081f
478,0x246e4acc,0xedb72cb1,0xd2aa8112
479,0x9b2a10fa,0xe563edc3,0x41176b01
480,0x8ad04bc0,0xbcb30a98,0x0811ad96
481,0xf58b3dcc,0x18834774,0xce8ecefa
482,0x3ba69f79,0xb8280ffb,0xb45ac61d
483,0x62b517b7,0x63ad14ea,0xefffffff
484,0x55169bcb,0xc681def1,0xdc18cf54
485,0x873beeac,0xead1ca6a,0x329a0272
486,0x4ecaecb6,0x632fc0bc,0x728b5097
487,0x233c6338,0x2abf5b8c,0x0e8cd165
488,0x6fab0b01,0xd0820724,0xefffffff
489,0x5d43fcef,0x72ef68d0,0xefffffff
490,0x4ec7e268,0xddda3d1a,0xed2a6681
491,0x133b293a,0x59a1eb01,0x2d6cc17b
492,0x22523011,0x722259f9,0x55054c4a
493,0xb9db154f,0x740abf33,0xee6d7a3c
494,0x50226445,0x392b6f78,0x49d97f60
495,0x276ebdeb,0x87ed8c60,0x80000000
496,0xe433beb1,0x150f4b80,0xb9c9390f
497,0x2ca22a28,0x1fe25533,0x0d0f5f30
498,0x9827af49,0x1b855f01,0x80000000
499,0xa878d708,0x1fc9f214,0x88c44c24
500,0x2ed4604e,0x2781b137,0x16d72f18
501,0x0d1d5552,0x467754a3,0x14180156
502,0xc4831711,0x9fcb72f3,0x24d05c4e
503,0xb1a65272,0x3eabe232,0xb0df580e
504,0x210c865f,0x872e929a,0x80000000
505,0xea9c3908,0x9fe69140,0x4b0cb3e0
506,0xa18d7d0a,0x3e824a06,0xa09004d2
507,0x2ac2257e,0x9d50c77d,0x889e55c1
508,0xc0125925,0x88f0b914,0x09899d61
509,0xe5416843,0x58967b47,0xfe636073
510,0xdd1a3074,0x68ae13c1,0xefffffff
511,0x4d1bf3bc,0x159a609b,0x233c16f1
512,0xa60e2294,0xf5ffa065,0x5c8ded7f
513,0x162a276a,0x478aee57,0x1e38af53
514,0x3a3c9997,0x6306c67e,0x5dc69541
515,0xee248c95,0x1199e1e2,0xc045d26b
516,0xf11ad11c,0x8914bc60,0x3ab3e59f
517,0x6165935b,0x0d4b269d,0x2f362e79
518,0xdf571d72,0xb44412b3,0x5424c241
519,0xd6d6b4f5,0x9fd3b625,0x37318fea
